name,subscribers,rating,Popular science,Reading room,DIY,History of IT,Electronics for beginners,Information Security,System administration,Old hardware,Hosting,Lifehacks for geeks,Astronautics,Energy and batteries,Systems engineering,Physics,Computer hardware,Gadgets,IT Infrastructure,IT-companies,Manufacture and development of electronics,Research and forecasts in IT,The future is here,CPU,Programming,Machine learning,Python,Configuring Linux,Personnel Management,Java,DevOps,IT career,Big Data,Website development,Algorithms,Tarantool,High performance,Game development,Interfaces,Search engines,Open source,Development of mobile applications,C++,IOT,Smart House,Development for IOT,Prototyping,Robotics,Biology,Health,Network technologies,Atlassian,Development Management,Brain,Project management,Service Desk,Studying in IT,Habr,Content-marketing,Community management,Legislation in IT,Social networks and communities,Conferences,Media management,Машинное обучение,Обработка изображений,Алгоритмы,Искусственный интеллект,Математика,Data Mining,Natural Language Processing,Будущее здесь,Визуализация данных,Kubernetes,Server Administration,Database Administration,Build automation,*nix,System Analysis and Design,JavaScript,ReactJS,Artificial Intelligence,Sound,Laptops,Video equipment,Cellular communication,Angular,TypeScript,Development for Android,Design,Development for iOS,IT systems testing,Professional literature,C,C#,.NET,Visual Studio,Development for Windows,Git,Finance in IT,Payment systems,Smartphones,Games and game consoles,Monitors and TV,Periphery,IT-emigration,Urbanism,Start-up development,Product Management,Data storage,Oracle,Interview,Development of communication systems,IT Standards,Network standards,Go,Web services testing,Chemistry,Biotechnologies,Ecology,Virtualization,Image processing,Hackathon,Software,Development for Linux,3D printers,Sales management,Cryptocurrencies,Cryptography,Google Chrome,Cloud services,Development for e-commerce,Patenting,Lazers,Remote work,Sport programming,Abnormal programming,PostgreSQL,SQL,Entertaining tasks,SaaS / S+S,Perfect code,Data storages,Business Models,Data visualization,Working with 3D-graphics,Reverse engineering,Microservices,E-commerce management,Kotlin,CTF,Logic games,Node.JS,Statistics in IT,Geoinformation services,Transport,Desktop PC's,Swift,Mobile applications testing,Mobile applications design,Objective C,Mathematics,Nginx,Offices of IT companies,Browsers,Industrial Programming,CAD/CAM,API,Desktop environments,GTD,Robotics development,Game design,CRM systems,ERP-systems,Circuit design,Wearable electronics,Antivirus protection,Mobile App Analytics,System Programming,FPGA,ECM,Designing and refactoring,Shells,Programming microcontrollers,Wireless technologies,Web design,Usability,Car Gadgets,Development for Tizen,Backup,Dart,Agile,Ruby on Rails,Ruby,Google Web Toolkit,Data Engineering,Spamming and anti-spamming,Browser extensions,Django,Rust,Apache,Hadoop,Cloud computing,Maps API,HTML,PHP,Biography of geeks,1C,Microsoft SQL Server,Technical Writing,MySQL,Telemedicine,Distributed systems,Semantics,Compilers,Solidity,Web analytics,Flutter,Voice user interfaces,Network hardware,Freelance,Working with video,Video conferencing,Tablets,Firefox,Multicopters,Developing for Arduino,PDF,Unity3D,Open data,IPv6,Mobile applications monetization,CSS,Decentralized networks,GitHub,Games monetization,Contextual advertising,IT Terminology,Typography,Производство и разработка электроники,Информационная безопасность,Гаджеты,Беспроводные технологии,Программирование микроконтроллеров,Системное программирование,Краудсорсинг,DIY или Сделай сам,Промышленное программирование,TDD,Internet marketing,Scala,Development for MacOS,UEFI,Matlab,Search engine optimization,Increasing Conversion Rate,Data recovery,Server optimization,Data compression,Graphic design,Language localisation,PowerShell,Branding,Adobe Flash,Microsoft Edge,Domain names administrating,Instant Messaging,SAN,Billing systems,Quantum technologies,Help Desk Software,Микросервисы,IT-инфраструктура,Облачные сервисы,Интерфейсы,Разработка веб-сайтов,Управление разработкой,Управление проектами,Openshift,Development for AR and VR,XML,Display advertising,Games promotion,Presentations,Qt,Client optimization,Web services monetization,Microsoft Azure,MongoDB,Concurrent computing,Assembler,Education abroad,Data storaging,NoSQL,Accessibility,Yandex API,Venture investment,Debugging,DNS,Google API,Safari,Firebird/Interbase,Email-marketing,Amazon Web Services,VueJS,I2P,Copyright
RUVDS.com,74336,2497.52,16791.2,16030.5,13585.9,6426.1,6397.7,6178.1,5860.0,5057.0,4898.1,4822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeweb Cloud,1202,2109.81,9164.4,6210.3,1837.0,2478.0,1367.0,,,2845.0,,,2224.8,1437.4,1352.0,1336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selectel,40312,1779.97,5640.7,,,6613.0,,,,,,,,,,,14413.4,13118.2,9241.6,8799.0,8437.9,7583.8,5835.9,4894.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTUS,105220,805.08,,,,,,625.0,,,,,,,,,,,,,,,,,1093.0,639.0,506.0,491.0,416.0,373.0,360.0,341.4,332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VK,169173,772.03,3390.0,,,,,,,,,,,,,,,,,,,,,,10194.4,4563.3,3426.0,,,,,,,6084.5,4513.5,4442.0,4284.0,3766.9,3632.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Яндекс,166964,617.27,,,,,,4120.0,,,,,,,,,,,,,,,,,5096.0,6871.7,,,,,,,,6514.0,7129.2,,,,3645.2,4553.0,4318.0,3844.2,3149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiren Board,389,538.39,,,940.0,,81.0,,,,,,,,545.2,,446.0,,,,89.2,,,,,,,,,,,,,,,,,,,,,,,989.2,955.2,88.0,88.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FirstVDS,24501,527.68,3096.0,1509.0,,505.0,,517.0,754.4,,869.8,,,,,,507.0,,,,,,609.0,,,,,,,,,,,,,,,,,,,,,,,,,,771.0,669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EvaTeam,57,511.92,,,,22.0,,,,,,,,,,,,,7.0,,,24.0,,,,,,,,,,262.0,,,,,,,,,,,,,,,,,,,262.0,35.0,22.0,16.0,12.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ГК ЛАНИТ,55442,481.14,1243.0,,,,,1307.9,,,,,,,,,,,1676.7,,,,,,1474.0,1338.9,,,1992.8,,,2027.9,,,,,,,,,,,,,,,,,,,,,1216.7,,2920.4,,1096.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
