,name company,count blogs in mart,badges,rating,subscribers
0,RUVDS.com,58,['Лучший блог компании 2020'],2329.47,74000.0
1,Timeweb Cloud,49,Нет,1919.11,1200.0
2,Selectel,34,Нет,1881.41,40000.0
3,VK,12,['Лучший блог компании 2020'],892.75,169000.0
4,OTUS,88,Нет,790.28,105000.0
5,Яндекс,4,['Лучший блог компании 2020'],717.07,166000.0
6,ГК ЛАНИТ,4,Нет,529.48,55000.0
7,FirstVDS,23,Нет,506.69,24000.0
8,Open Data Science,2,Нет,499.4,9700.0
9,getmatch,7,Нет,466.2,990
10,Wiren Board,4,Нет,446.66,374
11,EvaTeam,4,Нет,426.07,53
12,Конференции Олега Бунина (Онтико),11,Нет,407.98,58000.0
13,Сбер,8,"['Спонсор сезона Java', 'Компания поддержала «Технотекст 2021»']",384.97,73000.0
14,Хабр,2,Нет,360.91,83000.0
15,«Лаборатория Касперского»,7,['Лучший блог компании 2020'],345.52,83000.0
16,Флант,5,['Лучший блог компании 2020'],329.04,39000.0
17,М.Видео-Эльдорадо,3,Нет,313.85,19000.0
18,AGIMA,6,Нет,313.52,529
19,Издательский дом «Питер»,13,Нет,308.45,39000.0
20,TINKOFF,9,Нет,306.28,41000.0
21,Газпромбанк,4,Нет,297.06,263
22,Ozon Tech,5,Нет,271.32,29000.0
23,VAS Experts,4,Нет,266.02,25000.0
24,JUG Ru Group,9,Нет,263.78,42000.0
25,PVS-Studio,5,Нет,255.14,52000.0
26,Ростелеком-Солар,3,Нет,244.39,43000.0
27,Southbridge,20,Нет,239.67,47000.0
28,Инфосистемы Джет,4,"['Лучший блог компании 2020', 'Компания поддержала «Технотекст 2021»']",237.32,65000.0
29,KTS,8,Нет,225.91,272
30,РСХБ-Интех (Россельхозбанк),4,Нет,222.47,8100.0
31,Postgres Professional,4,Нет,221.16,78000.0
32,Контур,3,Нет,214.18,29000.0
33,ua-hosting.company,12,Нет,206.39,38000.0
34,МойОфис,3,Нет,199.65,626
35,Домклик,2,Нет,190.86,905
36,Яндекс Практикум,8,Нет,190.85,37000.0
37,Бастион,2,Нет,190.39,321
38,CloudMTS,10,['Спонсор сезона Kubernetes'],189.85,37000.0
39,Neoflex,1,Нет,189.31,21000.0
40,Онлайн Патент,14,Нет,186.84,60
41,КРОК,2,Нет,186.64,41000.0
42,Voximplant,1,Нет,181.43,70000.0
43,Dodo Engineering,2,['Лучший блог компании 2020'],178.39,45000.0
44,Хабр Карьера,6,Нет,173.66,15000.0
45,Белая Радуга,2,Нет,171.94,19000.0
46,AvitoTech,5,Нет,170.67,113000.0
47,Альфа-Банк,5,Нет,166.05,25000.0
48,Цифровой СИБУР,3,Нет,162.93,43000.0
49,ИТМО,3,Нет,156.72,20000.0
50,Skyeng,1,Нет,146.77,36000.0
51,Группа НЛМК,4,Нет,145.15,337
52,QIWI,4,Нет,143.22,35000.0
53,Gai.Company,2,Нет,135.93,29
54,МТС,5,Нет,130.57,33000.0
55,Sportmaster Lab,5,['Спонсор сезона Data Mining'],129.34,347
56,Перспективный мониторинг,0,Нет,128.66,15000.0
57,GlowByte,2,Нет,123.89,303
58,red_mad_robot,3,Нет,120.18,37000.0
59,Дата-центр «Миран»,1,Нет,120.16,13000.0
60,Группа Т1,1,Нет,119.34,489
61,SearchInform,2,Нет,117.82,15000.0
62,Группа компаний X-Com,5,Нет,117.29,125
63,X5 Tech,4,Нет,112.85,20000.0
64,HeadHunter,1,Нет,111.71,33000.0
65,SimbirSoft,6,Нет,111.6,541
66,Nixys,4,Нет,111.49,13000.0
67,Нанософт разработка,4,Нет,109.39,23000.0
68,билайн,3,Нет,109.16,36
69,ITSumma,1,Нет,108.84,60000.0
70,Bimeister,4,Нет,108.8,113
71,GlobalSign,4,Нет,108.14,43000.0
72,Positive Technologies,4,Нет,107.65,68000.0
73,«Норникель»,0,Нет,103.45,90
74,СберЗдоровье,3,Нет,103.28,156
75,Тензор,1,Нет,102.73,13000.0
76,Productivity Inside,6,Нет,102.62,55000.0
77,Wrike,1,Нет,100.48,31000.0
