name,subscribers,rating,Popular science,Reading room,DIY,History of IT,Electronics for beginners,Information Security,System administration,Old hardware,Hosting,Lifehacks for geeks,Astronautics,Energy and batteries,Systems engineering,Physics,Computer hardware,Gadgets,IT Infrastructure,IT-companies,Manufacture and development of electronics,Research and forecasts in IT,The future is here,CPU,Programming,Machine learning,Python,Configuring Linux,Personnel Management,Java,DevOps,IT career,Big Data,Программирование,Разработка веб-сайтов,Машинное обучение,Алгоритмы,Tarantool,Высокая производительность,Разработка игр,Интерфейсы,Научно-популярное,Algorithms,Website development,Search engines,Open source,Development of mobile applications,Interfaces,C++,IOT,Smart House,Development for IOT,Prototyping,Robotics,Biology,Health,Network technologies,Atlassian,Development Management,Brain,Project management,Service Desk,Studying in IT,Habr,Content-marketing,Community management,Legislation in IT,Social networks and communities,Conferences,Media management,Image processing,Artificial Intelligence,Mathematics,Data Mining,Natural Language Processing,Data visualization,Kubernetes,Server Administration,Database Administration,Build automation,*nix,High performance,System Analysis and Design,JavaScript,ReactJS,Sound,Laptops,Video equipment,Cellular communication,Angular,TypeScript,Development for Android,Design,Development for iOS,IT systems testing,Professional literature,C,C#,.NET,Visual Studio,Development for Windows,Game development,Smartphones,Games and game consoles,Monitors and TV,Periphery,IT-emigration,Urbanism,Start-up development,Finance in IT,Product Management,Data storage,Oracle,Системное администрирование,Серверное администрирование,IT-инфраструктура,Интервью,Управление проектами,Карьера в IT-индустрии,Управление персоналом,Development of communication systems,IT Standards,Network standards,Go,Web services testing,Chemistry,Biotechnologies,Ecology,Virtualization,Hackathon,Software,Development for Linux,3D printers,Sales management,Cryptocurrencies,Cryptography,Google Chrome,Cloud services,Development for e-commerce
RUVDS.com,74333,2497.52,16791.2,16030.5,13585.9,6426.1,6397.7,6178.1,5860.0,5057.0,4898.1,4822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeweb Cloud,1202,2109.81,9164.4,6210.3,1837.0,2476.0,1367.0,,,2843.0,,,2224.8,1437.4,1352.0,1336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selectel,40310,1779.97,5640.7,,,6613.0,,,,,,,,,,,14410.4,13117.2,9241.6,8797.0,8435.9,7581.8,5835.9,4894.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTUS,105218,805.08,,,,,,625.0,,,,,,,,,,,,,,,,,1093.0,639.0,506.0,491.0,416.0,373.0,360.0,341.4,332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VK,169170,772.03,,,,,,,,,,,,,,,,,,,,,,,,,3426.0,,,,,,,10194.4,6084.5,4563.3,4513.5,4442.0,4284.0,3766.9,3632.4,3390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Яндекс,166961,617.27,,,,,,4120.0,,,,,,,,,,,,,,,,,5096.0,6869.7,,,,,,,,,,,,,,,,,7129.2,6514.0,4553.0,4318.0,3844.2,3645.2,3149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiren Board,389,538.39,,,940.0,,81.0,,,,,,,,545.2,,446.0,,,,89.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989.2,955.2,88.0,88.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FirstVDS,24501,527.68,3096.0,1509.0,,505.0,,517.0,754.4,,869.8,,,,,,507.0,,,,,,603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.0,669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EvaTeam,57,511.92,,,,22.0,,,,,,,,,,,,,7.0,,,24.0,,,,,,,,,,262.0,,,,,,,,,,,,,,,,,,,,,,,,,262.0,35.0,22.0,16.0,12.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ГК ЛАНИТ,55439,481.14,1243.0,,,,,1307.9,,,,,,,,,,,1676.7,,,,,,1474.0,1338.9,,,1992.8,,,2027.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1216.7,,2920.4,,1096.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хабр,83295,449.03,,1093.0,,,,1203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742.0,,,,,,,,16658.6,3254.7,2437.5,1706.0,1651.4,1064.0,894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Data Science,9744,442.81,,,,,,,,,,,,,,,,,,,,,712.0,,,7514.3,3254.0,,,,,,,,,,,,,,,,2772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2948.0,2508.3,2191.0,2180.0,1115.3,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Флант,39618,422.71,,,,,,,6942.3,,,,,,,,,,1552.4,,,,,,,,,,,,8422.9,,,,,,,,,,,,,,,3239.7,,,,,,,,,,,470.3,,,,,,,,,,,,,,,,,,,,6996.2,1240.0,961.1,946.3,448.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Конференции Олега Бунина (Онтико),58211,400.39,,,,,,,,,,,,,,,,,,,,,,,3385.0,,,,2865.0,,1872.3,,,,,,,,,,,,,4764.9,,,,,,,,,,,,,,,3708.2,,2806.0,,,,,,,,4974.7,,,,,,,,,,,,,6295.4,1961.0,1640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTS,278,392.65,,,,,,,153.7,,,,,,,,,,,,,,,,,,215.3,,153.0,,212.7,180.0,,,,,,,,,,,,,,,133.3,,,,,,,,,173.0,,,,,,,219.4,,,,,,,,,,,,,,223.7,,,,,,,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
